SG_UF,CO_MACRORREGIONAL,NO_MACRORREGIONAL,CO_CIR,NO_CIR_PADRAO,CO_MUNICIPIO_IBGE,NO_MUNICIPIO,POP2021,,obs
MT,5.102,MACRORREGIAO OESTE,51.011,OESTE MATOGROSSENSE,510343,CURVELANDIA,5.267,,
MT,5.106,MACRORREGIÃO CENTRO-NOROESTE,51.007,MEDIO NORTE MATOGROSSENSE,510345,DENISE,9.626,,
MT,5.106,MACRORREGIÃO CENTRO-NOROESTE,51.004,CENTRO NORTE,510350,DIAMANTINO,22.311,,
MT,5.101,MACRORREGIAO SUL ,51.013,SUL MATOGROSSENSE,510360,DOM AQUINO,8.087,,
MT,5.103,MACRORREGIAO NORTE ,51.014,TELES PIRES,510370,FELIZ NATAL,14.847,,
MT,5.102,MACRORREGIAO OESTE,51.012,SUDOESTE MATOGROSSENSE,510380,FIGUEIROPOLIS D'OESTE,3.411,,
MT,5.104,MACRORREGIAO LESTE,51.006,MEDIO ARAGUAIA,510385,GAUCHA DO NORTE,7.913,,
MT,5.104,MACRORREGIAO LESTE,51.005,GARCAS ARAGUAIA,510390,GENERAL CARNEIRO,5.726,,
MT,5.102,MACRORREGIAO OESTE,51.011,OESTE MATOGROSSENSE,510395,GLORIA D'OESTE,2.990,,
MT,5.103,MACRORREGIAO NORTE ,51.015,VALE DO PEIXOTO,510410,GUARANTA DO NORTE,36.439,,
MT,5.101,MACRORREGIAO SUL ,51.013,SUL MATOGROSSENSE,510420,GUIRATINGA,15.740,,
MT,5.102,MACRORREGIAO OESTE,51.011,OESTE MATOGROSSENSE,510450,INDIAVAI,2.806,,
MT,5.103,MACRORREGIAO NORTE ,51.014,TELES PIRES,510452,IPIRANGA DO NORTE,8.182,,
MT,5.103,MACRORREGIAO NORTE ,51.014,TELES PIRES,510454,ITANHANGA,7.030,,
MT,5.103,MACRORREGIAO NORTE ,51.010,NORTE MATOGROSSENSE,510455,ITAUBA,3.609,,
